id,role,track,start,seed_variant,goal_key,temperament,onboarding_anxiety,hours_hint,agents,friends,email,clerk_user_id,username_hint,real_person,form_submitted,notes
T1,educator,teacher,n/a,,n/a,teacher_ops,n/a,n/a,"links;plan_S8;grade_test;S3_test_or_missing;notes_S1_S2",all_students,,,,,
S1,learner,short,fresh,,bagrut_math_3,low_engagement,3,2,tutor,none,,,,,
S2,learner,short,fresh,,bagrut_math_4,anxious,8,6,"tutor;mentor","S3;S7;S8",,,,,
S3,learner,short,fresh,,bagrut_math_5,fast_successful,2,10,"tutor;coach","S2;S7;S8",,,,,
S4,learner,short,fresh,,bagrut_physics,inconsistent,4,5,tutor,pending_to_S3,,,,,
S5,learner,long,fresh,,university_prep,motivated_shaky,5,8,"tutor;reviewer",S6,,,,,
S6,learner,long,fresh,,calculus1,high_achiever,3,12,"tutor;reviewer",S5,,,,,
S7,learner,long,seeded,building,bagrut_math_5,steady_average,4,10,"tutor;coach","S2;S3;S8",,,,,
S8,learner,long,seeded,at-risk,bagrut_math_4,anxious_behind,9,3,"tutor;mentor","S2;S3;S7",,,,,
S9,learner,long,seeded,near-exam,bagrut_math_5,crammer,6,10,"tutor;coach",none,,,,,
S10,learner,long,seeded,day-before,bagrut_math_5,panic_last_day,9,10,"tutor;mentor",none,,,,,
